time_us,pressure_pa,temp,altitude,fakeYaw,fakePitch,fakeRoll,ax,ay,az,wx,wy,wz,cont_drogue,cont_main,state,fired_main_us,fired_drogue_us
4607653,100124,26.71,0,180,0,0,599.12,3628.42,657.71,-4.03,-0.31,-0.85,0,0,0,0,0
4618091,100124,26.71,0,179.99,-0.01,0.05,566.89,3603.52,651.12,-1.46,-0.24,-0.98,0,0,0,0,0
4628096,100124,26.71,0,179.98,-0.03,0.08,590.33,3534.67,692.87,-1.71,-0.31,-0.73,0,0,0,0,0
4638098,100124,26.71,0,179.98,-0.04,0.11,621.83,3569.09,733.15,-3.05,-0.24,-0.18,0,0,0,0,0
4648098,100124,26.71,0,179.99,-0.05,0.13,635.74,3675.29,799.8,-4.03,0.18,0.85,0,0,0,0,0
4658654,100122,26.72,0,180.01,-0.05,0.14,588.87,3716.31,707.52,-4.21,0.92,1.83,0,0,0,0,0
4668658,100122,26.72,0,180.03,-0.04,0.16,569.82,3820.31,644.53,-3.78,1.77,2.69,0,0,0,0,0
4678661,100122,26.72,0,180.07,-0.02,0.19,631.35,3854,572.02,-3.11,2.56,3.3,0,0,0,0,0
4688663,100122,26.72,0,180.1,0,0.22,629.15,3876.71,572.02,-2.62,2.56,3.05,0,0,0,0,0
4698666,100122,26.72,0,180.12,0.01,0.25,607.18,3900.88,593.99,-1.95,2.01,2.32,0,0,0,0,0
4709634,100120,26.74,0,180.14,0.01,0.31,649.66,3885.5,609.37,-0.31,1.46,1.65,0,0,0,0,0
5628947,100112,26.94,0,184.26,0,6.86,799.8,3685.55,620.36,1.04,-2.69,0.31,640,638,0,0,0
6639282,100112,27,0,185.24,-3.8,7.77,998.29,3517.09,854,-7.87,2.56,-5.68,640,638,0,0,0
7659048,100118,27.05,0,184.87,-5.39,12.93,986.57,3617.43,826.9,-0.12,1.83,0.73,640,638,0,0,0
8678857,100113,27.1,0,184.54,-7.64,18.49,1023.93,3581.54,988.77,-1.71,-2.81,-0.06,640,638,0,0,0
9698682,100110,27.15,0,183.75,-9.17,23.22,1017.33,3573.49,925.05,-1.22,-0.06,0.67,640,638,0,0,0
10710048,100109,27.19,0,182.73,-9.97,28.61,1023.93,3574.95,900.15,0.24,0.49,0.06,637,637,0,0,0
11729865,100114,27.23,0,181.46,-10.91,35.7,1045.17,3340.58,766.85,4.7,4.58,-1.22,637,637,0,0,0
12749684,100109,27.26,0,180.31,-12.51,41.99,978.52,3634.28,767.58,2.01,-3.11,-2.62,637,637,0,0,0
13769465,100105,27.29,0,179.61,-13.91,48.29,1086.18,4240.72,667.97,-8.79,-1.1,5.07,637,637,0,0,0
14789242,100107,27.33,0,177.74,-10.02,41.86,743.41,3440.92,1315.43,9.4,0.37,0.85,637,637,0,0,0
15800621,100111,27.36,0,174.67,-11.47,51.16,635.74,3672.36,1138.92,12.08,-3.11,-0.37,640,637,0,0,0
16820392,100101,27.38,0,171.71,-15.05,53.92,901.61,3659.18,1135.25,-12.08,7.51,8.48,640,637,0,0,0
17840202,100112,27.41,0,166.67,-16.07,57.57,971.92,3366.94,1153.56,4.58,-0.43,2.08,640,637,0,0,0
18860015,100112,27.43,0,166.28,-16.04,62.96,1010.74,3444.58,1271.48,4.33,1.83,-0.24,640,637,0,0,0
19879844,100111,27.45,0,165.78,-18.14,72.69,1222.41,3610.11,929.44,15.26,-4.15,4.88,640,637,0,0,0
20891252,100111,27.48,0,165.08,-18.19,68.27,1176.27,3242.43,1511.72,-9.16,-2.99,-1.59,641,637,0,0,0
