time_us,pressure_pa,temp,altitude,fakeYaw,fakePitch,fakeRoll,ax,ay,az,wx,wy,wz,cont_drogue,cont_main,state,fired_main_us,fired_drogue_us
4747449,99825,24.11,0,0,0.45,-0.04,-1001.22,-82.03,71.78,-0.06,-0.06,0.06,0,0,0,0,0
4758436,99825,24.11,0,0,6.69,-0.5,-1001.22,-73.97,66.65,0,0.12,0,0,0,0,0,0
4768535,99825,24.11,0,0,12.33,-0.94,-1005.62,-76.9,68.12,0.18,0.31,0.06,0,0,0,0,0
4778623,99825,24.11,0,0,17.8,-1.38,-1002.69,-74.71,72.51,0.12,0.12,0.06,0,0,0,0,0
4788734,99825,24.11,0,0,23.09,-1.78,-1004.15,-67.38,72.51,0.24,0.12,0.06,0,0,0,0,0
4798765,99827,24.13,0,0,28.09,-2.2,-1001.95,-68.12,76.9,0,0.06,0,0,0,0,0,0
4808867,99827,24.13,0,0,32.9,-2.64,-1001.95,-68.85,65.92,-0.06,0.06,0,0,0,0,0,0
4818988,99827,24.13,0,0,37.4,-3.15,-1001.95,-75.44,74.71,-0.12,0.18,0,0,0,0,0,0
4829118,99827,24.13,0,0,41.61,-3.72,-1001.22,-79.1,71.78,-0.24,0.06,-0.06,0,0,0,0,0
4839241,99827,24.13,0,0,45.5,-4.33,-1002.69,-81.3,74.71,-0.31,-0.06,-0.12,0,0,0,0,0
4849697,99828,24.15,0,0,49.24,-4.92,-1003.42,-72.51,69.58,-0.06,0.12,0,0,0,0,0,0
5785148,99829,24.36,0,0,84.26,-45.14,-1002.69,-76.17,76.17,-0.18,-0.06,0,0,0,0,0,0
6801215,99833,24.42,0,0,84.43,-45.38,-1004.15,-58.59,69.58,0.49,-0.43,0.12,0,0,0,0,0
7822994,99831,24.46,0,-0.19,84.38,-44.6,-1010.01,-128.17,59.33,-0.18,-0.61,0.49,0,0,0,0,0
8844804,99831,24.5,0,-0.97,84.32,-45.89,-974.12,-87.89,131.1,-2.14,0.43,-1.16,0,0,0,0,0
9866350,99823,24.54,0,-0.77,84.45,-45,-1000.49,-70.31,65.92,-0.55,-0.12,-0.98,0,0,0,0,0
10887924,99826,24.58,0,-0.63,84.39,-44.81,-1002.69,-71.04,80.57,0.06,0.37,-0.43,0,1,0,0,0
11909747,99824,24.62,0,-0.33,84.53,-44.41,-1007.81,-69.58,77.64,-0.24,-0.31,-0.55,0,1,0,0,0
12931094,99822,24.65,0,-0.33,84.5,-44.33,-1006.35,-62.99,74.71,0.06,0.31,-0.37,0,1,0,0,0
13952628,99823,24.69,0,-1.1,84.44,-45.05,-1001.95,-73.97,78.37,0.24,0,-0.24,0,1,0,0,0
14974080,99832,24.73,0,-1.55,84.5,-45.42,-1003.42,-69.58,69.58,-0.06,-0.06,0,0,1,0,0,0
