timestamp (us),gx (d/s),gy (d/s),gz (d/s)
4686847,0.12,0.06,0.12
4698147,-0.06,-0.06,0
4703934,-0.06,-0.18,-0.12
4709725,0,-0.06,-0.06
4715514,0,0.12,0
4721304,-0.06,0.12,0
4727416,-0.12,0.06,0
4733207,-0.06,-0.06,0.06
4739065,0.06,-0.06,0.06
4744855,0.06,-0.18,0.06
4750645,0.06,-0.24,0
4756437,0.06,-0.12,0.06
4762576,0.12,0.12,0.12
4768365,0.06,0.24,0.18
4774154,0.18,0.12,0.18
4779942,0.18,0,0.12
4785734,0.18,-0.06,0
4791603,0.12,-0.12,0
4797774,0.12,-0.12,0
4803566,0.06,-0.06,0.12
4809355,0.12,0.06,0.12
4815146,0.12,0.12,0.06
4820935,0.12,0.12,-0.06
4826727,0.18,0.06,-0.12
4832934,0.18,0,-0.12
4838726,0.12,0.12,-0.06
4844638,0.12,0.06,-0.12
4850425,0.06,-0.06,-0.12
4856214,-0.12,-0.18,-0.12
4862001,-0.18,-0.12,0
4868226,-0.24,-0.06,0.06
4874014,-0.31,0.06,0
4879804,-0.37,0.06,-0.06
4885595,-0.24,0.06,0
4891384,-0.06,0.06,0
4897314,0.12,0.06,0.06
4903570,0,-0.06,-0.06
4909362,-0.12,-0.12,-0.06
4915151,-0.12,0,0.06
4920942,0,0.12,0.18
4926735,0.06,0.31,0.18
4933014,0.06,0.24,0.06
4938804,-0.06,0.18,0
4944595,-0.06,0.12,-0.06
4950560,-0.06,0,-0.06
4956351,0,-0.12,-0.06
4962139,0,-0.18,0.12
4968435,0,-0.06,0.18
4974225,0.12,0.06,0
4980013,0.24,0.18,-0.06
4985804,0.31,0.18,-0.06
4991595,0.31,0.18,0
4997384,0.24,0.18,0.06
5005341,0.06,0.12,0.06
5011331,0,0,0.06
5017333,0,-0.18,0.06
5023342,0.06,-0.24,0.06
5029358,0.12,-0.06,-0.06
5035377,0.12,-0.06,-0.12
5042358,0.06,-0.06,-0.12
5048383,0,-0.06,-0.12
5054405,-0.06,-0.06,0
5061015,0,-0.06,0
5067035,0,0,-0.06
5073070,0.06,0,-0.12
5080079,0.06,0,0
5086124,0.06,0,0.06
5092171,0,0.06,0.06
5098223,0,0.18,0
5104277,-0.06,0.37,-0.06
5110336,0,0.31,0
5118360,0,0.24,0.06
5124410,-0.06,0.06,0.12
5130473,0,0.12,0.12
5136571,0.06,0.31,0.06
5142686,0,0.24,0.06
5148757,0,0,0
5155786,0.12,0,0
5161869,0.18,-0.06,0.06
5167953,0.18,-0.06,0.18
5174618,0.06,0.06,0.12
5180697,0.06,0.06,0.06
5186789,0.06,0.06,0.06
5193886,0,-0.06,0.12
5199987,0.06,-0.12,0.06
5206085,0.12,-0.18,0.06
5212196,0.12,-0.24,0.12
5218308,0,-0.24,0.12
5224458,0,0,0.06
5232560,0.12,0.12,0.06
5238672,0.24,0.12,-0.06
5244793,0.31,0.12,-0.12
5250953,0.18,0,-0.12
5257118,0.12,0.06,-0.06
5263251,0,0,0.06
5270447,-0.12,-0.12,0.12
5276585,-0.06,-0.12,0
5283747,0,0.06,0
5289878,-0.06,0.12,0.06
5296027,-0.18,0.06,0
5302183,-0.12,0.06,0
5309333,0.18,0.18,0.06
5315487,0.24,0.12,0.06
5321643,0.18,0.06,0
5327805,0.12,0.06,-0.12
5334956,0.06,-0.12,-0.24
5341152,0,-0.31,-0.18
5348368,-0.18,-0.37,-0.12
5354544,-0.43,-0.37,-0.06
5360725,-0.24,-0.31,-0.06
5366906,-0.06,-0.24,-0.06
5373094,0,-0.12,0
5379284,-0.12,0.12,0
5387474,-0.12,0.18,-0.06
5393654,0.12,0.06,0.06
5399853,0.18,-0.06,0.06
5406057,0.18,-0.06,0
5411901,0.12,-0.06,-0.06
5417745,0,-0.12,-0.06
5425070,-0.06,-0.06,0.12
5430930,0.06,0,0.24
5436784,0.06,-0.06,0.31
5443638,0.12,0,0.24
5449498,0.12,0.18,0.31
5455365,0.06,0.24,0.31
5471457,-0.06,0.12,-0.06
5477342,-0.12,0,-0.18
5483235,-0.06,-0.06,-0.18
5489136,0.12,0.06,-0.12
5495613,0.12,0.12,-0.06
5501502,0,0.06,0
5508289,0,-0.06,0
5514199,0.12,0,0
5520114,0.18,0.06,-0.06
5526029,0.18,0.12,-0.06
5531944,0.18,0.18,0
5537865,0.12,0.24,0.06
5544684,0,0.18,0.12
5551187,0.06,0.12,0.06
5557110,0.18,0.12,0
5563036,0.24,0.12,0
5568973,0.31,0.12,-0.06
5574906,0.18,0.12,-0.06
5581750,0.06,0.12,-0.12
5587690,-0.06,0.12,-0.12
5593628,0.06,0.18,0.06
5599574,0.12,0.06,0.12
5606107,0.12,-0.06,0.12
5612048,0.06,-0.24,0.06
