Clock,gx,gy,gz,,,,,
4695634,0.31,-0.24,0,,,,,
4707248,0.18,-0.43,0,,,,,
4713045,0.12,-0.49,0.06,,,,,
4718840,0.12,-0.55,0.06,,,,,
4724641,0.12,-0.49,0,,,,,
4730435,0.12,-0.31,0,,,,,
4736894,0.12,-0.12,-0.06,,,,,
4742688,0.06,0.06,-0.06,,,,,
4748909,0.06,0.18,-0.12,,,,,
4754706,0,0.24,-0.06,,,,,
4760507,-0.06,0.24,0,,,,,
4766301,-0.06,0.18,0,,,,,
4772774,-0.06,0.12,0,,,,,
4778569,0,-0.12,0.06,,,,,
4784370,0.06,-0.18,0.06,,,,,
4790167,0.06,-0.18,0.06,,,,,
4795965,0.06,-0.18,0.06,,,,,
4802202,0.06,-0.18,0.12,,,,,
4808687,0.12,-0.18,0.18,,,,,
4814485,0.12,-0.18,0.06,,,,,
4820284,0.06,-0.18,0,,,,,
4826079,0.06,-0.12,-0.06,,,,,
4831877,0,0,0,,,,,
4837674,0,0.12,0.06,,,,,
4844154,0,0.43,0.06,,,,,
4849950,0.06,0.49,0,,,,,
4856185,0.12,0.49,0,,,,,
4861983,0.12,0.37,0,,,,,
4867782,0.06,0.12,-0.06,,,,,
4873578,0,-0.18,-0.06,,,,,
4880083,0,-0.24,0,,,,,
4885876,0,-0.18,0,,,,,
4891677,0,-0.12,0.06,,,,,
4897473,-0.06,-0.06,0.12,,,,,
4903274,-0.06,0,0.12,,,,,
4909523,0,0.12,0.06,,,,,
4916036,0,0.12,0.06,,,,,
4921832,0.06,0.12,0,,,,,
4927633,0,0.24,-0.06,,,,,
4933432,0,0.37,-0.06,,,,,
4939231,-0.12,0.37,0,,,,,
4945026,-0.06,0.24,0.06,,,,,
4951555,0,0.06,0.06,,,,,
4957353,-0.06,-0.18,0.06,,,,,
4963631,0,-0.43,0,,,,,
4969428,0.06,-0.43,-0.06,,,,,
4975229,0.12,-0.37,-0.06,,,,,
4981025,0.12,-0.24,-0.12,,,,,
4987575,0.12,-0.18,-0.12,,,,,
4993369,0.12,-0.06,-0.06,,,,,
4999170,0.18,0.12,0.06,,,,,
5005052,0.18,0.18,0.06,,,,,
5010884,0.12,0.12,0,,,,,
5017704,0.06,0.06,-0.06,,,,,
5024793,0.12,0.06,-0.12,,,,,
5030629,0.18,-0.06,-0.06,,,,,
5036464,0.18,-0.18,-0.06,,,,,
5042299,0.12,-0.31,-0.06,,,,,
5048144,0.12,-0.31,-0.06,,,,,
5055255,0.12,-0.24,0,,,,,
5061103,0.06,-0.18,0.06,,,,,
5066976,0.12,0,0.06,,,,,
5073835,0.06,0.24,0,,,,,
5079703,0.12,0.31,0,,,,,
5085581,0.24,0.37,0,,,,,
5092735,0.24,0.43,0.06,,,,,
5098617,0.12,0.43,0.12,,,,,
5104499,0.12,0.31,0.12,,,,,
5110385,0.18,0.18,0.06,,,,,
5116270,0.18,0,0.06,,,,,
5122160,0.18,-0.18,0.06,,,,,
5130311,0.12,-0.24,0.06,,,,,
5136195,0.06,-0.18,0.12,,,,,
5142091,0.06,-0.06,0.12,,,,,
5147985,0.12,0,0.06,,,,,
5153884,0.18,0.12,0.06,,,,,
5159785,0.18,0.24,0.12,,,,,
5166976,0.18,0.37,0.18,,,,,
5172879,0.24,0.55,0.18,,,,,
5178785,0.24,0.49,0.12,,,,,
5185681,0.24,0.06,0.12,,,,,
5191581,0.18,-0.31,0.06,,,,,
5197491,0.18,-0.49,0,,,,,
5204694,0.24,-0.12,0,,,,,
5210611,0.24,0.06,-0.06,,,,,
5216529,0.18,0.24,-0.06,,,,,
5222446,0.12,0.37,0,,,,,
5228367,0.12,0.43,0,,,,,
5234285,0.06,0.24,0.06,,,,,
5242486,0.12,0.24,0,,,,,
5248403,0.12,0.24,0,,,,,
5254327,0,0.06,-0.12,,,,,
5260254,-0.06,-0.06,-0.12,,,,,
5266185,-0.12,-0.24,-0.06,,,,,
5272123,-0.12,-0.37,0.06,,,,,
5279355,-0.06,-0.43,0.12,,,,,
5285292,-0.06,-0.43,0.12,,,,,
5291237,-0.06,-0.43,0.06,,,,,
5298164,0,-0.43,0,,,,,
5304105,0.06,-0.18,-0.18,,,,,
5310052,0.06,0.12,-0.18,,,,,
5317299,0.06,0.37,-0.06,,,,,
5323247,0.06,0.55,0,,,,,
5329199,0.12,0.49,0.06,,,,,
5335151,0.12,0.37,0.06,,,,,
5341110,0.12,0.18,0.06,,,,,
5347066,0.12,0,0.06,,,,,
5355314,0.18,-0.37,0.06,,,,,
5361267,0.24,-0.37,0,,,,,
5367230,0.24,-0.24,0,,,,,
5373193,0.18,-0.06,0.06,,,,,
5379162,0,0.18,0.12,,,,,
5385133,0,0.24,0.12,,,,,
5391119,0.06,0.43,0.12,,,,,
5397093,0.06,0.55,0.12,,,,,
5403068,0.12,0.55,0.12,,,,,
5410029,0.06,0.31,0,,,,,
5415999,0,0.18,0,,,,,
5423296,-0.06,0,0.06,,,,,
5429274,0.06,-0.37,0,,,,,
5435263,0.06,-0.55,-0.06,,,,,
5441251,0.06,-0.61,-0.12,,,,,
5447237,0.12,-0.61,-0.12,,,,,
5453227,0.12,-0.49,-0.12,,,,,
5461526,0.12,-0.24,-0.06,,,,,
5476333,0.18,0.18,0,,,,,
5482503,0.18,0.24,0,,,,,
5488669,0.18,0.49,-0.12,,,,,
5494832,0.12,0.49,-0.06,,,,,
5501001,0.06,0.37,0,,,,,
5507978,0.18,0.37,0.06,,,,,
5514726,0.31,0.37,0.06,,,,,
5520897,0.24,0.24,0,,,,,
5527076,0.12,0,-0.06,,,,,
5533248,0.12,-0.12,-0.12,,,,,
5539430,0.12,-0.18,-0.06,,,,,
5546424,0.06,-0.31,0,,,,,
5552603,0,-0.49,0,,,,,
5558782,0,-0.61,-0.06,,,,,
5565953,0.12,-0.49,-0.06,,,,,
5572132,0.12,-0.31,0,,,,,
5578320,0.06,0,0,,,,,
5585324,0,0.67,0.12,,,,,
5591517,0,0.79,0.12,,,,,
5597710,0.06,0.67,0.06,,,,,
5603908,0.12,0.37,0.12,,,,,
5610108,0.12,0.06,0.18,,,,,
5617289,0.12,-0.31,0.18,,,,,
5624301,0.12,-0.79,0.06,,,,,
5630505,0,-0.92,0,,,,,
5636710,0,-0.85,-0.06,,,,,
5642922,-0.06,-0.67,-0.12,,,,,
5649131,0,-0.24,-0.06,,,,,
5654939,0.06,-0.06,0,,,,,
5661982,0.18,0.24,0.06,,,,,
5668776,0.31,0.55,0.06,,,,,
5674583,0.31,0.61,0,,,,,
5680396,0.24,0.55,-0.06,,,,,
5686213,0.24,0.43,0,,,,,
5692070,0.24,0.18,0.12,,,,,
5699203,0.24,-0.31,0.18,,,,,
5705080,0.31,-0.37,0.12,,,,,
5710961,0.24,-0.37,0.06,,,,,
5716841,0.18,-0.37,0.12,,,,,
5723714,0.06,-0.06,0.24,,,,,
5729583,0,0.12,0.24,,,,,
5736729,0,0.31,0.18,,,,,
5742588,0,0.49,0.12,,,,,
5748445,0.06,0.55,0.06,,,,,
5754301,0.12,0.43,0,,,,,
5760133,0.06,0.31,-0.06,,,,,
5767170,0,0.12,-0.06,,,,,
5773380,0,-0.06,-0.06,,,,,
5780169,0.06,-0.18,-0.12,,,,,
5786037,0.06,-0.12,-0.12,,,,,
5791910,0.06,0,-0.06,,,,,
5797755,0.12,0,0,,,,,
5804908,0.18,0,0.06,,,,,
5810723,0.18,0.06,0.06,,,,,
5816572,0.18,0.12,0,,,,,
5822386,0.12,0.12,-0.06,,,,,
5828205,0,0.12,-0.06,,,,,
5835009,-0.12,0.12,0,,,,,
5842154,-0.06,0,0,,,,,
5848068,-0.06,-0.12,-0.06,,,,,
