Comment,Designator,Footprint,LCSC
TLV62130RGTR,U6,QFN-16_L3.0-W3.0-P0.50-TL-EP,C122479
100nF,"C10,C12,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
FC-B1010RGBT-HG,U14,LED-ARRAY-SMD_4P-L1.0-W1.0-TR-RD,C158099
10uF,"C2,C4",C_0805_2012Metric,C15850
BMI088,U3,LGA-16_L4.5-W3.0-P0.50-BL,C194919
100,R11,R_0603_1608Metric,C22775
160k,R20,R_0603_1608Metric,C22813
30k,"R14,R17,R22,R7",R_0603_1608Metric,C22984
0603WAF5101T5E,"R12,R13",R0603,C23186
51,"R10,R9",R_0603_1608Metric,C23197
100k,"R1,R19",R_0603_1608Metric,C25803
10k,"R15,R16,R18,R2,R21,R23,R3,R4,R5,R6,R8",R_0603_1608Metric,C25804
3.3nF,C11,C_0402_1005Metric,C26404
AP20P30Q,"U12,U7",DFN-8_L3.3-W3.0-P0.65-LS3.3-BL-EP,C2837278
2N7002KDW_72K,U8,SOT-363_L2.1-W1.3-P0.65-LS2.3-BL,C2919800
ESP32-S2-SOLO-2-N4,U2,WIRELM-SMD_ESP32-S3-WROOM-1,C3040594
TYPE-C_14PLC-H10_0,U15,USB-C-TH_SHOUHAN_TYPE-C-14PLC-H10.0,C3151746
TF_PUSH,U5,TF-SMD_TF-PUSH,C393941
MSK12C02-HB,U10,SW-TH_MSK12C02-HB-1,C431541
2.2uH,L1,IND-SMD_L3.0-W3.0,C43389
22uF,"C1,C3",C_0603_1608Metric,C59461
TPS62172DSGR,U1,WSON-8_L2.0-W2.0-P0.50-TL-EP,C59873
WJ124-3_81-6P,P1,CONN-TH_6P-P3.81_WJ124-3.81-6P,C69810
BMP280,U4,LGA-8_L2.5-W2.0-P0.65_AMP6127,C83291
HNB09A03,BUZ1,BUZ-TH_BD9.0-P5.00-D0.6-FD,C96102
2.2uH,L2,IND-SMD_L4.0-W4.0,C98361
Conn_01x03_Pin,J1,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J2,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H1,MountingHole_3.2mm_M3_Pad,
Conn_01x04,J7,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x03_Pin,J5,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x04,J6,PinHeader_1x04_P2.54mm_Vertical,
MountingHole,H4,MountingHole_3.2mm_M3_Pad,
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,
